DATE,pred,ci_lower,ci_upper,pred_acc,pred_vel,country,ISO,npi_stringency_index,tests_new_per_thousand,stats_population_density,stats_population_urban,country_name,infections_var,risk_index,latitude,longitude
2020-04-03,1868.9033201273699,1752.7557229334814,1985.0509173212583,5.303425073275027,151.83458794134856,belgium,BEL,81.48,0.386,375.564,3081719.0,Belgium,170.48064005211518,101.9624640312691,50.6402809,4.6667145
2020-04-04,1999.829485907507,1886.707844919739,2112.951126895275,0.5896258798530633,86.33287132288216,belgium,BEL,81.48,0.32,375.564,3081719.0,Belgium,130.92616578013713,78.22977946808227,50.6402809,4.6667145
2020-04-05,1936.469380356685,1819.3032628032825,2053.6354979100875,-4.968259131178744,4.436463711126407,belgium,BEL,81.48,0.195,375.564,3081719.0,Belgium,-63.36010555082203,-38.34198333049322,50.6402809,4.6667145
2020-04-06,1911.2669934621827,1791.3939427399748,2031.1400441843905,-0.07222376350192046,70.4829960572624,belgium,BEL,81.48,0.325,375.564,3081719.0,Belgium,-25.202386894502297,-15.447352136701378,50.6402809,4.6667145
2020-04-07,1908.5047982656615,1790.0035669607796,2027.0060295705434,2.013401044173944,101.48933622698203,belgium,BEL,81.48,0.4320000000000001,375.564,3081719.0,Belgium,-2.7621951965211338,-1.9832371179126802,50.6402809,4.6667145
2020-04-08,1871.7495180487829,1756.8820776057125,1986.6169584918532,1.1759954573709228,90.3147542774415,belgium,BEL,81.48,0.438,375.564,3081719.0,Belgium,-36.755280216878646,-22.379088130127187,50.6402809,4.6667145
2020-04-09,1842.2885330846448,1725.6344417580385,1958.942624411251,-0.444700424753379,67.26121952574964,belgium,BEL,81.48,0.44,375.564,3081719.0,Belgium,-29.460984964138106,-18.002510978482864,50.6402809,4.6667145
2020-04-10,1814.7634079564057,1700.560116882063,1928.9666990307483,-4.21060546059984,9.03250681634562,belgium,BEL,81.48,0.487,375.564,3081719.0,Belgium,-27.525125128239097,-16.840995076943457,50.6402809,4.6667145
2020-04-11,1786.7644570403452,1671.0242281977385,1902.504685882952,-8.816238728335259,-66.0520880736271,belgium,BEL,81.48,0.498,375.564,3081719.0,Belgium,-27.998950916060494,-17.125290549636297,50.6402809,4.6667145
2020-04-12,1559.6335283154883,1445.5402798140508,1673.7267768169258,-13.75592481397199,-151.8063987955335,belgium,BEL,81.48,0.478,375.564,3081719.0,Belgium,-227.13092872485686,-136.6044772349141,50.6402809,4.6667145
2020-04-13,1393.0766804173218,1278.0724101271644,1508.0809507074791,-6.719524224715622,-58.43849156505478,belgium,BEL,81.48,0.445,375.564,3081719.0,Belgium,-166.55684789816655,-100.26002873889992,50.6402809,4.6667145
2020-04-14,1245.6094045042162,1129.3666272240043,1361.852181784428,-5.224993067946775,-42.16174585228722,belgium,BEL,81.48,0.474,375.564,3081719.0,Belgium,-147.4672759131056,-88.80628554786335,50.6402809,4.6667145
2020-04-15,1141.1966013586753,1022.0554776758279,1260.3377250415226,-3.404489036586977,-19.645202133572898,belgium,BEL,81.48,0.608,375.564,3081719.0,Belgium,-104.41280314554092,-62.973601887324556,50.6402809,4.6667145
2020-04-16,1222.9254082639538,1101.926190439624,1343.9246260882837,3.4603266607292236,78.57831025501073,belgium,BEL,81.48,0.581,375.564,3081719.0,Belgium,81.72880690527859,48.711364143167145,50.6402809,4.6667145
2020-04-17,1387.80139508914,1265.427350361439,1510.175439816841,2.395422925502809,66.27081720135861,belgium,BEL,81.48,0.6829999999999999,375.564,3081719.0,Belgium,164.87598682518615,98.59967209511169,50.6402809,4.6667145
2020-04-18,1559.1776592469407,1437.8517168780534,1680.503601615828,-3.6500046028562467,-22.74864688346514,belgium,BEL,81.48,0.6809999999999999,375.564,3081719.0,Belgium,171.37626415780073,102.49983849468045,50.6402809,4.6667145
2020-04-19,1449.5276460645364,1331.3657605729843,1567.6895315560885,-12.196314884298014,-157.1240973718705,belgium,BEL,81.48,0.48,375.564,3081719.0,Belgium,-109.65001318240434,-66.11592790944259,50.6402809,4.6667145
2020-04-20,1207.498996413822,1091.755724049093,1323.2422687785509,-16.410544201116835,-235.57703036386923,belgium,BEL,81.48,0.746,375.564,3081719.0,Belgium,-242.02864965071444,-145.54310979042864,50.6402809,4.6667145
2020-04-21,1023.474669330764,907.3689443043932,1139.5803943571348,-10.13210933797328,-154.0641410154969,belgium,BEL,81.48,0.604,375.564,3081719.0,Belgium,-184.02432708305798,-110.74051624983478,50.6402809,4.6667145
2020-04-22,796.3360776835352,683.7171821540799,908.9549732129906,-4.571358342544248,-79.43278373886417,belgium,BEL,81.48,1.063,375.564,3081719.0,Belgium,-227.13859164722874,-136.60907498833723,50.6402809,4.6667145
2020-04-23,644.2295592841349,529.6832969098652,758.7758216584045,-0.44715997075966746,-20.05504524440532,belgium,BEL,81.48,1.16,375.564,3081719.0,Belgium,-152.10651839940033,-91.58983103964019,50.6402809,4.6667145
2020-04-24,591.5739901192777,476.3499529215891,706.7980273169663,-0.5057179988953857,-21.685957266368696,belgium,BEL,81.48,1.314,375.564,3081719.0,Belgium,-52.655569164857184,-31.91926149891431,50.6402809,4.6667145
2020-04-25,644.8280431196439,529.6895821470314,759.9665040922564,-3.6446232745652685,-69.97076151902657,belgium,BEL,81.48,1.22,375.564,3081719.0,Belgium,53.254053000366184,31.62651180021971,50.6402809,4.6667145
2020-04-26,704.8652582436922,590.1561299552136,819.5743865321708,-8.688639071093972,-148.78998757154085,belgium,BEL,81.48,1.026,375.564,3081719.0,Belgium,60.037215124048316,35.696409074428985,50.6402809,4.6667145
2020-04-27,732.8484216778569,615.7591391301341,849.9377042255796,-4.414218214064887,-94.0348416575975,belgium,BEL,81.48,1.256,375.564,3081719.0,Belgium,27.98316343416468,16.463978060498807,50.6402809,4.6667145
2020-04-28,726.3844591024462,611.0791809966661,841.6897372082262,-1.102993132825939,-48.680174704996396,belgium,BEL,81.48,1.4280000000000002,375.564,3081719.0,Belgium,-6.463962575410733,-4.2042975452464395,50.6402809,4.6667145
2020-04-29,615.9284634980028,497.5430492971719,734.3138776988337,-2.470120334475209,-71.06511689005092,belgium,BEL,81.48,1.679,375.564,3081719.0,Belgium,-110.45599560444339,-66.59951736266602,50.6402809,4.6667145
2020-04-30,519.2334441409783,398.20146258996806,640.2654256919886,-1.3946960815288227,-57.08802355847959,belgium,BEL,81.48,1.839,375.564,3081719.0,Belgium,-96.69501935702442,-58.342931614214656,50.6402809,4.6667145
2020-05-01,458.64894201687883,338.74024145514284,578.5576425786148,-2.392144782109078,-73.2303792115495,belgium,BEL,81.48,1.834,375.564,3081719.0,Belgium,-60.584502124099515,-36.67662127445971,50.6402809,4.6667145
2020-05-02,448.78415310477317,328.4930175990447,569.0752886105016,-4.617140667473517,-109.72289819606434,belgium,BEL,81.48,1.265,375.564,3081719.0,Belgium,-9.864788912105666,-6.2447933472634,50.6402809,4.6667145
2020-05-03,311.1600969950649,190.21337306302507,432.10682092710476,-7.423471629116071,-157.6696880304914,belgium,BEL,81.48,1.03,375.564,3081719.0,Belgium,-137.62405610970825,-82.90035366582494,50.6402809,4.6667145
2020-05-04,171.04073563636015,47.957346632055405,294.1241246406649,-3.74719728380151,-108.78487624837788,belgium,BEL,81.48,1.773,375.564,3081719.0,Belgium,-140.11936135870477,-84.39753681522285,50.6402809,4.6667145
2020-05-05,79.42762071221874,0.0,200.90304896243634,-2.056105576103304,-87.3247396129112,belgium,BEL,78.7,1.503,375.564,3081719.0,Belgium,-91.61311492414141,-55.28266895448485,50.6402809,4.6667145
2020-05-06,0.0,0.0,117.96826601062263,-0.8356697474229138,-70.89517006340019,belgium,BEL,78.7,1.482,375.564,3081719.0,Belgium,-79.42762071221874,-47.97137242733124,50.6402809,4.6667145
2020-05-07,0.0,0.0,119.70232015261783,1.075480483945271,-43.35228090301913,belgium,BEL,78.7,1.5619999999999998,375.564,3081719.0,Belgium,0.0,-0.3148,50.6402809,4.6667145
2020-05-08,0.0,0.0,117.41952752079398,1.4666347548142564,-36.01458338879549,belgium,BEL,78.7,1.897,375.564,3081719.0,Belgium,0.0,-0.3148,50.6402809,4.6667145
2020-05-09,37.883162229304624,0.0,155.648383917844,0.8692157647696273,-43.28259800332606,belgium,BEL,78.7,1.533,375.564,3081719.0,Belgium,37.883162229304624,22.415097337582772,50.6402809,4.6667145
2020-05-10,37.55709563644608,0.0,155.93328165697835,-0.3058504839327018,-60.270929559625266,belgium,BEL,78.7,0.887,375.564,3081719.0,Belgium,-0.32606659285854533,-0.5104399557151272,50.6402809,4.6667145
2020-05-11,90.9385263708197,0.0,210.51671711649897,3.703518577965125,0.2572868238014968,belgium,BEL,75.0,0.69,375.564,3081719.0,Belgium,53.38143073437362,31.72885844062417,50.6402809,4.6667145
2020-05-12,169.9771286194368,52.728368609107434,287.22588862976613,5.4317897978764345,30.611939636560113,belgium,BEL,75.0,1.398,375.564,3081719.0,Belgium,79.0386022486171,47.12316134917026,50.6402809,4.6667145
2020-05-13,254.11734931475635,134.31567441969827,373.91902420981444,6.606480245741883,54.42074503282107,belgium,BEL,75.0,1.663,375.564,3081719.0,Belgium,84.14022069531956,50.184132417191734,50.6402809,4.6667145
2020-05-14,339.85722557328677,217.8595602773272,461.85489086924633,6.244109028261772,55.46585564347393,belgium,BEL,75.0,1.408,375.564,3081719.0,Belgium,85.73987625853042,51.143925755118254,50.6402809,4.6667145
2020-05-15,427.13722458204705,305.65213946056315,548.622309703531,5.010648191308474,42.100483613491086,belgium,BEL,75.0,1.436,375.564,3081719.0,Belgium,87.27999900876029,52.067999405256174,50.6402809,4.6667145
2020-05-16,516.3293350691041,398.3625236039111,634.2961465342971,3.249969212790394,19.65096878325648,belgium,BEL,75.0,0.996,375.564,3081719.0,Belgium,89.19211048705705,53.21526629223423,50.6402809,4.6667145
